"Name","Path"
"csrss",
"csrss",
"ctfmon","C:\Windows\system32\ctfmon.exe"
"dllhost","C:\Windows\system32\dllhost.exe"
"dllhost","C:\Windows\system32\DllHost.exe"
"dwm","C:\Windows\system32\dwm.exe"
"explorer","C:\Windows\Explorer.EXE"
"fontdrvhost","C:\Windows\system32\fontdrvhost.exe"
"fontdrvhost","C:\Windows\system32\fontdrvhost.exe"
"GoogleCrashHandler","C:\Program Files (x86)\Google\Update\1.3.36.332\GoogleCrashHandler.exe"
"GoogleCrashHandler64","C:\Program Files (x86)\Google\Update\1.3.36.332\GoogleCrashHandler64.exe"
"Idle",
"lsass","C:\Windows\system32\lsass.exe"
"Memory Compression",
"msdtc","C:\Windows\System32\msdtc.exe"
"MsMpEng",
"MusNotifyIcon","C:\Windows\system32\MusNotifyIcon.exe"
"NisSrv",
"powershell_ise","C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe"
"Registry",
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe"
"SearchUI","C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe"
"SecurityHealthService",
"SecurityHealthSystray","C:\Windows\System32\SecurityHealthSystray.exe"
"services",
"SgrmBroker",
"ShellExperienceHost","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"
"sihost","C:\Windows\system32\sihost.exe"
"smss",
"spoolsv","C:\Windows\System32\spoolsv.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\System32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\System32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\System32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\System32\svchost.exe"
"svchost","C:\Windows\System32\svchost.exe"
"svchost","C:\Windows\System32\svchost.exe"
"svchost","C:\Windows\System32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\System32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\System32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\System32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\System32\svchost.exe"
"svchost","C:\Windows\System32\svchost.exe"
"svchost","C:\Windows\System32\svchost.exe"
"svchost",
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\system32\svchost.exe"
"svchost","C:\Windows\System32\svchost.exe"
"System",
"taskhostw","C:\Windows\system32\taskhostw.exe"
"VGAuthService","C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe"
"vm3dservice","C:\Windows\system32\vm3dservice.exe"
"vm3dservice","C:\Windows\system32\vm3dservice.exe"
"vmtoolsd","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"
"vmtoolsd","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"
"wininit",
"winlogon","C:\Windows\system32\winlogon.exe"
"WmiPrvSE","C:\Windows\system32\wbem\wmiprvse.exe"
